algorithm,instance,family,type,dist_mean,dist_best,dist_std,veh_mean,gap_mean,gap_best,time_mean_ms,iters_mean,improvements_mean,time_to_best_mean_ms,useful_pct_mean
tabu,C108,C,1,827.3,827.3,0.0,10.0,0.0,0.0,4373.0,819.0,19.0,110.0,2.515435627715527
tabu,C109,C,1,827.3,827.3,0.0,10.0,0.0,0.0,4793.0,821.0,17.0,124.0,2.5871061965366158
tabu,C201,C,2,589.1,589.1,0.0,3.0,0.0,0.0,14419.0,801.0,1.0,8.0,0.05548234967750884
tabu,C202,C,2,617.9,617.9,0.0,3.0,4.889,4.889,6685.0,815.0,15.0,126.0,1.8848167539267016
tabu,C203,C,2,588.7,588.7,0.0,3.0,0.0,0.0,8614.0,929.0,26.0,1174.0,13.628976085442304
tabu,C204,C,2,620.5,620.5,0.0,4.0,5.509,5.509,9623.0,1220.0,91.0,3323.0,34.53185077418684
tabu,C205,C,2,586.4,586.4,0.0,3.0,0.0,0.0,6704.0,812.0,11.0,99.0,1.4767303102625298
tabu,C206,C,2,586.0,586.0,0.0,3.0,0.0,0.0,6655.0,810.0,10.0,83.0,1.247182569496619
tabu,C207,C,2,585.8,585.8,0.0,3.0,0.0,0.0,6667.0,814.0,14.0,118.0,1.7699115044247788
tabu,C208,C,2,585.8,585.8,0.0,3.0,0.0,0.0,7372.0,821.0,20.0,177.0,2.400976668475312
